"REF_DATE","GEO","DGUID","Tenure including social and affordable housing","Housing suitability and dwelling condition","Statistics","UOM","UOM_ID","SCALAR_FACTOR","SCALAR_ID","VECTOR","COORDINATE","VALUE","STATUS","SYMBOL","TERMINATED","DECIMALS"
"2022","Canada (provinces only)","2021A000011124","Total, tenure","Minor repairs needed","Percentage of households","Percent","239","units","0","v1594709368","1.1.6.4","24.0","","","","1"
"2018","Canada (provinces only)","2021A000011124","Total, tenure","Major repairs needed","Number of households","Number","223","units","0","v1594709348","1.1.7.1","1030900","","","","0"
"2021","Canada (provinces only)","2021A000011124","Total, tenure","Major repairs needed","Number of households","Number","223","units","0","v1594709348","1.1.7.1","1110000","","","","0"
"2022","Canada (provinces only)","2021A000011124","Total, tenure","Major repairs needed","Number of households","Number","223","units","0","v1594709348","1.1.7.1","1127500","","","","0"
"2018","Canada (provinces only)","2021A000011124","Total, tenure","Major repairs needed","Percentage of households","Percent","239","units","0","v1594709369","1.1.7.4","7.0","","","","1"
"2021","Canada (provinces only)","2021A000011124","Total, tenure","Major repairs needed","Percentage of households","Percent","239","units","0","v1594709369","1.1.7.4","7.4","","","","1"
"2022","Canada (provinces only)","2021A000011124","Total, tenure","Major repairs needed","Percentage of households","Percent","239","units","0","v1594709369","1.1.7.4","7.3","","","","1"
"2018","Canada (provinces only)","2021A000011124","Owner","Total, housing suitability","Number of households","Number","223","units","0","v1594709384","1.2.1.1","10032200","","","","0"
"2021","Canada (provinces only)","2021A000011124","Owner","Total, housing suitability","Number of households","Number","223","units","0","v1594709384","1.2.1.1","10214900","","","","0"
"2022","Canada (provinces only)","2021A000011124","Owner","Total, housing suitability","Number of households","Number","223","units","0","v1594709384","1.2.1.1","10109100","","","","0"
"2018","Canada (provinces only)","2021A000011124","Owner","Total, housing suitability","Percentage of households","Percent","239","units","0","v1594709405","1.2.1.4","100.0","","","","1"
"2021","Canada (provinces only)","2021A000011124","Owner","Total, housing suitability","Percentage of households","Percent","239","units","0","v1594709405","1.2.1.4","100.0","","","","1"
"2022","Canada (provinces only)","2021A000011124","Owner","Total, housing suitability","Percentage of households","Percent","239","units","0","v1594709405","1.2.1.4","100.0","","","","1"
"2018","Canada (provinces only)","2021A000011124","Owner","Suitable","Number of households","Number","223","units","0","v1594709385","1.2.2.1","9729200","","","","0"
"2021","Canada (provinces only)","2021A000011124","Owner","Suitable","Number of households","Number","223","units","0","v1594709385","1.2.2.1","9933900","","","","0"
"2022","Canada (provinces only)","2021A000011124","Owner","Suitable","Number of households","Number","223","units","0","v1594709385","1.2.2.1","9817700","","","","0"
"2018","Canada (provinces only)","2021A000011124","Owner","Suitable","Percentage of households","Percent","239","units","0","v1594709406","1.2.2.4","97.0","","","","1"
"2021","Canada (provinces only)","2021A000011124","Owner","Suitable","Percentage of households","Percent","239","units","0","v1594709406","1.2.2.4","97.2","","","","1"
"2022","Canada (provinces only)","2021A000011124","Owner","Suitable","Percentage of households","Percent","239","units","0","v1594709406","1.2.2.4","97.1","","","","1"
"2018","Canada (provinces only)","2021A000011124","Owner","Not suitable","Number of households","Number","223","units","0","v1594709386","1.2.3.1","303000","","","","0"
"2021","Canada (provinces only)","2021A000011124","Owner","Not suitable","Number of households","Number","223","units","0","v1594709386","1.2.3.1","281200","","","","0"
"2022","Canada (provinces only)","2021A000011124","Owner","Not suitable","Number of households","Number","223","units","0","v1594709386","1.2.3.1","291400","","","","0"
"2018","Canada (provinces only)","2021A000011124","Owner","Not suitable","Percentage of households","Percent","239","units","0","v1594709407","1.2.3.4","3.0","","","","1"
"2021","Canada (provinces only)","2021A000011124","Owner","Not suitable","Percentage of households","Percent","239","units","0","v1594709407","1.2.3.4","2.8","","","","1"
"2022","Canada (provinces only)","2021A000011124","Owner","Not suitable","Percentage of households","Percent","239","units","0","v1594709407","1.2.3.4","2.9","","","","1"
"2018","Canada (provinces only)","2021A000011124","Owner","Total, dwelling condition","Number of households","Number","223","units","0","v1594709387","1.2.4.1","10032100","","","","0"
"2021","Canada (provinces only)","2021A000011124","Owner","Total, dwelling condition","Number of households","Number","223","units","0","v1594709387","1.2.4.1","10214900","","","","0"
"2022","Canada (provinces only)","2021A000011124","Owner","Total, dwelling condition","Number of households","Number","223","units","0","v1594709387","1.2.4.1","10109200","","","","0"
"2018","Canada (provinces only)","2021A000011124","Owner","Total, dwelling condition","Percentage of households","Percent","239","units","0","v1594709408","1.2.4.4","100.0","","","","1"
"2021","Canada (provinces only)","2021A000011124","Owner","Total, dwelling condition","Percentage of households","Percent","239","units","0","v1594709408","1.2.4.4","100.0","","","","1"
"2022","Canada (provinces only)","2021A000011124","Owner","Total, dwelling condition","Percentage of households","Percent","239","units","0","v1594709408","1.2.4.4","100.0","","","","1"
"2018","Canada (provinces only)","2021A000011124","Owner","Regular maintenance needed","Number of households","Number","223","units","0","v1594709388","1.2.5.1","7223500","","","","0"
"2021","Canada (provinces only)","2021A000011124","Owner","Regular maintenance needed","Number of households","Number","223","units","0","v1594709388","1.2.5.1","7181200","","","","0"
"2022","Canada (provinces only)","2021A000011124","Owner","Regular maintenance needed","Number of households","Number","223","units","0","v1594709388","1.2.5.1","7106300","","","","0"
"2018","Canada (provinces only)","2021A000011124","Owner","Regular maintenance needed","Percentage of households","Percent","239","units","0","v1594709409","1.2.5.4","72.0","","","","1"
"2021","Canada (provinces only)","2021A000011124","Owner","Regular maintenance needed","Percentage of households","Percent","239","units","0","v1594709409","1.2.5.4","70.0","","","","1"
"2022","Canada (provinces only)","2021A000011124","Owner","Regular maintenance needed","Percentage of households","Percent","239","units","0","v1594709409","1.2.5.4","70.0","","","","1"
"2018","Canada (provinces only)","2021A000011124","Owner","Minor repairs needed","Number of households","Number","223","units","0","v1594709389","1.2.6.1","2167000","","","","0"
"2021","Canada (provinces only)","2021A000011124","Owner","Minor repairs needed","Number of households","Number","223","units","0","v1594709389","1.2.6.1","2373800","","","","0"
"2022","Canada (provinces only)","2021A000011124","Owner","Minor repairs needed","Number of households","Number","223","units","0","v1594709389","1.2.6.1","2337700","","","","0"
"2018","Canada (provinces only)","2021A000011124","Owner","Minor repairs needed","Percentage of households","Percent","239","units","0","v1594709410","1.2.6.4","22.0","","","","1"
"2021","Canada (provinces only)","2021A000011124","Owner","Minor repairs needed","Percentage of households","Percent","239","units","0","v1594709410","1.2.6.4","23.0","","","","1"
"2022","Canada (provinces only)","2021A000011124","Owner","Minor repairs needed","Percentage of households","Percent","239","units","0","v1594709410","1.2.6.4","23.0","","","","1"
"2018","Canada (provinces only)","2021A000011124","Owner","Major repairs needed","Number of households","Number","223","units","0","v1594709390","1.2.7.1","641800","","","","0"
"2021","Canada (provinces only)","2021A000011124","Owner","Major repairs needed","Number of households","Number","223","units","0","v1594709390","1.2.7.1","659900","","","","0"
"2022","Canada (provinces only)","2021A000011124","Owner","Major repairs needed","Number of households","Number","223","units","0","v1594709390","1.2.7.1","665200","","","","0"
"2018","Canada (provinces only)","2021A000011124","Owner","Major repairs needed","Percentage of households","Percent","239","units","0","v1594709411","1.2.7.4","6.4","","","","1"
"2021","Canada (provinces only)","2021A000011124","Owner","Major repairs needed","Percentage of households","Percent","239","units","0","v1594709411","1.2.7.4","6.5","","","","1"
"2022","Canada (provinces only)","2021A000011124","Owner","Major repairs needed","Percentage of households","Percent","239","units","0","v1594709411","1.2.7.4","6.6","","","","1"
"2018","Canada (provinces only)","2021A000011124","Renter","Total, housing suitability","Number of households","Number","223","units","0","v1594709426","1.3.1.1","4594300","","","","0"
"2021","Canada (provinces only)","2021A000011124","Renter","Total, housing suitability","Number of households","Number","223","units","0","v1594709426","1.3.1.1","4852900","","","","0"
"2022","Canada (provinces only)","2021A000011124","Renter","Total, housing suitability","Number of households","Number","223","units","0","v1594709426","1.3.1.1","5345800","","","","0"
"2018","Canada (provinces only)","2021A000011124","Renter","Total, housing suitability","Percentage of households","Percent","239","units","0","v1594709447","1.3.1.4","100.0","","","","1"
