businessoperator,detailurl,streetnumber,street,totaloutstanding,totalunits,geom,geolocalarea,geo_point_2d,violation_rate,city
HWP 242 14th Avenue Ltd,http://app.vancouver.ca/RPS_Net/Default.aspx?num=242&street=E%2014TH%20AVENUE,242,E 14TH AVENUE,1,20.0,"{""coordinates"":[-123.09946364,49.25812427],""type"":""Point""}",Mount Pleasant,"49.25812427, -123.09946364",0.04999999750000012,Vancouver
Q-14 HOLDINGS LTD,http://app.vancouver.ca/RPS_Net/Default.aspx?num=95&street=E%2014TH%20AVENUE,95,E 14TH AVENUE,2,26.0,"{""coordinates"":[-123.10353917,49.25878761],""type"":""Point""}",Mount Pleasant,"49.25878761, -123.10353917",0.07692307396449716,Vancouver
Constantine Mouratidis & Petros Mouratidis,http://app.vancouver.ca/RPS_Net/Default.aspx?num=524&street=E%2015TH%20AVENUE,524,E 15TH AVENUE,1,5.0,"{""coordinates"":[-123.09311723,49.25705348],""type"":""Point""}",Mount Pleasant,"49.25705348, -123.09311723",0.199999960000008,Vancouver
544792 Brtitish Columbia Ltd,http://app.vancouver.ca/RPS_Net/Default.aspx?num=130&street=E%2015TH%20AVENUE,130,E 15TH AVENUE,2,42.0,"{""coordinates"":[-123.10243269,49.25725915],""type"":""Point""}",Mount Pleasant,"49.25725915, -123.10243269",0.0476190464852608,Vancouver
667441 BC Ltd,http://app.vancouver.ca/RPS_Net/Default.aspx?num=631&street=E%2015TH%20AVENUE,631,E 15TH AVENUE,2,12.0,"{""coordinates"":[-123.09023606,49.25740256],""type"":""Point""}",Mount Pleasant,"49.25740256, -123.09023606",0.16666665277777895,Vancouver
Nhung Thi Dinh & Thi T Dinh,http://app.vancouver.ca/RPS_Net/Default.aspx?num=657&street=E%2015TH%20AVENUE,657,E 15TH AVENUE,1,8.0,"{""coordinates"":[-123.08967635,49.25734985],""type"":""Point""}",Mount Pleasant,"49.25734985, -123.08967635",0.12499998437500197,Vancouver
Yueko Enterprises Ltd,http://app.vancouver.ca/RPS_Net/Default.aspx?num=210&street=E%2016TH%20AVENUE,210,E 16TH AVENUE,1,10.0,"{""coordinates"":[-123.10052349,49.25632539],""type"":""Point""}",Riley Park,"49.25632539, -123.10052349",0.09999999000000101,Vancouver
Chang Wu,http://app.vancouver.ca/RPS_Net/Default.aspx?num=137&street=E%2016TH%20AVENUE,137,E 16TH AVENUE,1,8.0,"{""coordinates"":[-123.10214692,49.25686634],""type"":""Point""}",Mount Pleasant,"49.25686634, -123.10214692",0.12499998437500197,Vancouver
East 16th Avenue Holdings Ltd,http://app.vancouver.ca/RPS_Net/Default.aspx?num=223&street=E%2016TH%20AVENUE,223,E 16TH AVENUE,1,23.0,"{""coordinates"":[-123.10011655,49.25684207],""type"":""Point""}",Mount Pleasant,"49.25684207, -123.10011655",0.04347825897920613,Vancouver
Mighty Atom Holdings Inc,http://app.vancouver.ca/RPS_Net/Default.aspx?num=199&street=E%2017TH%20AVENUE,199,E 17TH AVENUE,6,8.0,"{""coordinates"":[-123.1017011,49.25587369],""type"":""Point""}",Riley Park,"49.25587369, -123.1017011",0.7499999062500118,Vancouver
Cressey 18th Avenue Holdings Ltd,http://app.vancouver.ca/RPS_Net/Default.aspx?num=1771&street=E%2018TH%20AVENUE,1771,E 18TH AVENUE,5,115.0,"{""coordinates"":[-123.06926143,49.25455643],""type"":""Point""}",Kensington-Cedar Cottage,"49.25455643, -123.06926143",0.043478260491493385,Vancouver
Natan Cheifetz,http://app.vancouver.ca/RPS_Net/Default.aspx?num=248&street=E%2028TH%20AVENUE,248,E 28TH AVENUE,2,6.0,"{""coordinates"":[-123.10017626,49.24546463],""type"":""Point""}",Riley Park,"49.24546463, -123.10017626",0.33333327777778704,Vancouver
Hardip Pawa & Surinder Pawa,http://app.vancouver.ca/RPS_Net/Default.aspx?num=2001&street=E%2036TH%20AVENUE,2001,E 36TH AVENUE,3,8.0,"{""coordinates"":[-123.06502751,49.23766833],""type"":""Point""}",Kensington-Cedar Cottage,"49.23766833, -123.06502751",0.3749999531250059,Vancouver
Eddie Yen & Sandra Yen et al,http://app.vancouver.ca/RPS_Net/Default.aspx?num=1995&street=E%2039TH%20AVENUE,1995,E 39TH AVENUE,1,7.0,"{""coordinates"":[-123.0658778,49.23469154],""type"":""Point""}",Kensington-Cedar Cottage,"49.23469154, -123.0658778",0.1428571224489825,Vancouver
Brightside Community Homes Foundation,http://app.vancouver.ca/RPS_Net/Default.aspx?num=1602&street=E%2041ST%20AVENUE,1602,E 41ST AVENUE,1,15.0,"{""coordinates"":[-123.07256746,49.23238482],""type"":""Point""}",Victoria-Fraserview,"49.23238482, -123.07256746",0.06666666222222252,Vancouver
Christa Vina Investment Ltd,http://app.vancouver.ca/RPS_Net/Default.aspx?num=1408&street=E%2041ST%20AVENUE,1408,E 41ST AVENUE,1,42.0,"{""coordinates"":[-123.07649817,49.23243487],""type"":""Point""}",Victoria-Fraserview,"49.23243487, -123.07649817",0.0238095232426304,Vancouver
Lam & Son Investment Inc,http://app.vancouver.ca/RPS_Net/Default.aspx?num=686&street=E%2043RD%20AVENUE,686,E 43RD AVENUE,7,6.0,"{""coordinates"":[-123.09101847,49.23085789],""type"":""Point""}",Sunset,"49.23085789, -123.09101847",1.1666664722222546,Vancouver
Steve Pasiuta,http://app.vancouver.ca/RPS_Net/Default.aspx?num=522&street=E%2043RD%20AVENUE,522,E 43RD AVENUE,2,10.0,"{""coordinates"":[-123.09345232,49.23077495],""type"":""Point""}",Sunset,"49.23077495, -123.09345232",0.19999998000000202,Vancouver
0766422 BC Ltd,http://app.vancouver.ca/RPS_Net/Default.aspx?num=580&street=E%2043RD%20AVENUE,580,E 43RD AVENUE,2,41.0,"{""coordinates"":[-123.09303819,49.23076944],""type"":""Point""}",Sunset,"49.23076944, -123.09303819",0.048780486615110086,Vancouver
ELSIE'S BUILDING LTD.,http://app.vancouver.ca/RPS_Net/Default.aspx?num=1965&street=E%2043RD%20AVENUE,1965,E 43RD AVENUE,1,6.0,"{""coordinates"":[-123.06600764,49.23071291],""type"":""Point""}",Victoria-Fraserview,"49.23071291, -123.06600764",0.16666663888889352,Vancouver
Michelle's Import Plus Ltd,http://app.vancouver.ca/RPS_Net/Default.aspx?num=206&street=E%2049TH%20AVENUE,206,E 49TH AVENUE,3,15.0,"{""coordinates"":[-123.10124557,49.2254594],""type"":""Point""}",Sunset,"49.2254594, -123.10124557",0.19999998666666757,Vancouver
175 Management Ltd,http://app.vancouver.ca/RPS_Net/Default.aspx?num=175&street=E%20BROADWAY,175,E BROADWAY,1,49.0,"{""coordinates"":[-123.10144548,49.26311053],""type"":""Point""}",Mount Pleasant,"49.26311053, -123.10144548",0.020408162848813003,Vancouver
Gene Ho Chan (Gene Chan),http://app.vancouver.ca/RPS_Net/Default.aspx?num=910&street=E%20BROADWAY,910,E BROADWAY,1,10.0,"{""coordinates"":[-123.08501011,49.26212927],""type"":""Point""}",Mount Pleasant,"49.26212927, -123.08501011",0.09999999000000101,Vancouver
Alpha Partner Global Ltd,http://app.vancouver.ca/RPS_Net/Default.aspx?num=1533&street=E%20BROADWAY,1533,E BROADWAY,1,12.0,"{""coordinates"":[-123.0730316,49.26264074],""type"":""Point""}",Grandview-Woodland,"49.26264074, -123.0730316",0.08333332638888948,Vancouver
Lori-Gay Holdings Ltd,http://app.vancouver.ca/RPS_Net/Default.aspx?num=1624&street=E%20BROADWAY,1624,E BROADWAY,1,17.0,"{""coordinates"":[-123.07131306,49.26201487],""type"":""Point""}",Kensington-Cedar Cottage,"49.26201487, -123.07131306",0.05882352595155729,Vancouver
Gordon Block Apartments Ltd,http://app.vancouver.ca/RPS_Net/Default.aspx?num=833&street=E%20BROADWAY,833,E BROADWAY,1,11.0,"{""coordinates"":[-123.08642837,49.26274833],""type"":""Point""}",Mount Pleasant,"49.26274833, -123.08642837",0.09090908264462885,Vancouver
Wah Mun Lee & Ut Kio Lee,http://app.vancouver.ca/RPS_Net/Default.aspx?num=928&street=E%20BROADWAY,928,E BROADWAY,3,10.0,"{""coordinates"":[-123.08477441,49.26212676],""type"":""Point""}",Mount Pleasant,"49.26212676, -123.08477441",0.299999970000003,Vancouver
0783571 BC Ltd,http://app.vancouver.ca/RPS_Net/Default.aspx?num=938&street=E%20BROADWAY,938,E BROADWAY,1,10.0,"{""coordinates"":[-123.0845435,49.26212423],""type"":""Point""}",Mount Pleasant,"49.26212423, -123.0845435",0.09999999000000101,Vancouver
0840625 BC Ltd,http://app.vancouver.ca/RPS_Net/Default.aspx?num=1005&street=E%20BROADWAY,1005,E BROADWAY,2,14.0,"{""coordinates"":[-123.08297865,49.2627221],""type"":""Point""}",Mount Pleasant,"49.2627221, -123.08297865",0.14285713265306196,Vancouver
Cameo Concepts Corp,http://app.vancouver.ca/RPS_Net/Default.aspx?num=1209&street=E%20BROADWAY,1209,E BROADWAY,1,37.0,"{""coordinates"":[-123.07869297,49.26268242],""type"":""Point""}",Mount Pleasant,"49.26268242, -123.07869297",0.027027026296566857,Vancouver
Broadway Terrace Development Ltd,http://app.vancouver.ca/RPS_Net/Default.aspx?num=1530&street=E%20BROADWAY,1530,E BROADWAY,5,5.0,"{""coordinates"":[-123.07302189,49.26202774],""type"":""Point""}",Kensington-Cedar Cottage,"49.26202774, -123.07302189",0.99999980000004,Vancouver
Albina Halfar & Joseph Helmut Halfar,http://app.vancouver.ca/RPS_Net/Default.aspx?num=389&street=E%20BROADWAY,389,E BROADWAY,5,11.0,"{""coordinates"":[-123.0961867,49.26299326],""type"":""Point""}",Mount Pleasant,"49.26299326, -123.0961867",0.4545454132231443,Vancouver
1383 E Broadway Homes Limited,http://app.vancouver.ca/RPS_Net/Default.aspx?num=1383&street=E%20BROADWAY,1383,E BROADWAY,3,30.0,"{""coordinates"":[-123.07579922,49.26266414],""type"":""Point""}",Grandview-Woodland,"49.26266414, -123.07579922",0.09999999666666677,Vancouver
Broadway Developments Limited,http://app.vancouver.ca/RPS_Net/Default.aspx?num=1568&street=E%20BROADWAY,1568,E BROADWAY,2,54.0,"{""coordinates"":[-123.07229716,49.26203052],""type"":""Point""}",Kensington-Cedar Cottage,"49.26203052, -123.07229716",0.037037036351165994,Vancouver
1208149 BC Ltd,http://app.vancouver.ca/RPS_Net/Default.aspx?num=139&street=E%20CORDOVA%20STREET,139,E CORDOVA STREET,3,46.0,"{""coordinates"":[-123.10088225,49.28256585],""type"":""Point""}",Downtown,"49.28256585, -123.10088225",0.06521738988657848,Vancouver
City of Vancouver,http://app.vancouver.ca/RPS_Net/Default.aspx?num=450&street=E%20CORDOVA%20STREET,450,E CORDOVA STREET,2,147.0,"{""coordinates"":[-123.09391899,49.28191513],""type"":""Point""}",Strathcona,"49.28191513, -123.09391899",0.01360544208431672,Vancouver
Raincity Housing And Support Society,http://app.vancouver.ca/RPS_Net/Default.aspx?num=512&street=E%20CORDOVA%20STREET,512,E CORDOVA STREET,1,24.0,"{""coordinates"":[-123.09301216,49.28189653],""type"":""Point""}",Strathcona,"49.28189653, -123.09301216",0.041666664930555625,Vancouver
679 East Cordova Street Holdings Ltd,http://app.vancouver.ca/RPS_Net/Default.aspx?num=679&street=E%20CORDOVA%20STREET,679,E CORDOVA STREET,1,12.0,"{""coordinates"":[-123.08971424,49.28235112],""type"":""Point""}",Strathcona,"49.28235112, -123.08971424",0.08333332638888948,Vancouver
Southwood Ventures Inc,http://app.vancouver.ca/RPS_Net/Default.aspx?num=50&street=E%20CORDOVA%20STREET,50,E CORDOVA STREET,8,39.0,"{""coordinates"":[-123.10305901,49.28215237],""type"":""Point""}",Downtown,"49.28215237, -123.10305901",0.20512819986850772,Vancouver
Provincial Rental Housing Corporation,http://app.vancouver.ca/RPS_Net/Default.aspx?num=100&street=E%20CORDOVA%20STREET,100,E CORDOVA STREET,1,56.0,"{""coordinates"":[-123.1019758,49.28207009],""type"":""Point""}",Downtown,"49.28207009, -123.1019758",0.017857142538265314,Vancouver
Yee Fung Toy Society of Canada,http://app.vancouver.ca/RPS_Net/Default.aspx?num=224&street=E%20GEORGIA%20STREET,224,E GEORGIA STREET,8,12.0,"{""coordinates"":[-123.09875289,49.27829156],""type"":""Point""}",Strathcona,"49.27829156, -123.09875289",0.6666666111111158,Vancouver
249 East Georgia Street Holdings Ltd,http://app.vancouver.ca/RPS_Net/Default.aspx?num=249&street=E%20GEORGIA%20STREET,249,E GEORGIA STREET,6,18.0,"{""coordinates"":[-123.09800036,49.27878965],""type"":""Point""}",Strathcona,"49.27878965, -123.09800036",0.3333333148148158,Vancouver
245 E Georgia Holdings Inc,http://app.vancouver.ca/RPS_Net/Default.aspx?num=245&street=E%20GEORGIA%20STREET,245,E GEORGIA STREET,1,40.0,"{""coordinates"":[-123.09809645,49.27879217],""type"":""Point""}",Strathcona,"49.27879217, -123.09809645",0.024999999375000016,Vancouver
PHS Community Services Society,http://app.vancouver.ca/RPS_Net/Default.aspx?num=16&street=E%20HASTINGS%20STREET,16,E HASTINGS STREET,6,90.0,"{""coordinates"":[-123.1039351,49.28110813],""type"":""Point""}",Downtown,"49.28110813, -123.1039351",0.06666666592592593,Vancouver
Anhart Community Housing Society,http://app.vancouver.ca/RPS_Net/Default.aspx?num=25&street=E%20HASTINGS%20STREET,25,E HASTINGS STREET,4,70.0,"{""coordinates"":[-123.10361324,49.28170077],""type"":""Point""}",Downtown,"49.28170077, -123.10361324",0.05714285632653063,Vancouver
PHS Community Services Society,http://app.vancouver.ca/RPS_Net/Default.aspx?num=103&street=E%20HASTINGS%20STREET,103,E HASTINGS STREET,1,19.0,"{""coordinates"":[-123.10187599,49.28167732],""type"":""Point""}",Downtown,"49.28167732, -123.10187599",0.05263157617728546,Vancouver
Min Sum & Annabelle Sum & Tony Sum & Susana Sum,http://app.vancouver.ca/RPS_Net/Default.aspx?num=244&street=E%20HASTINGS%20STREET,244,E HASTINGS STREET,1,26.0,"{""coordinates"":[-123.09853416,49.28094353],""type"":""Point""}",Strathcona,"49.28094353, -123.09853416",0.03846153698224858,Vancouver
1215345 BC Ltd,http://app.vancouver.ca/RPS_Net/Default.aspx?num=249&street=E%20HASTINGS%20STREET,249,E HASTINGS STREET,3,39.0,"{""coordinates"":[-123.0983951,49.28160462],""type"":""Point""}",Strathcona,"49.28160462, -123.0983951",0.0769230749506904,Vancouver
Kim Thanh Nguyen (Kim Nguyen),http://app.vancouver.ca/RPS_Net/Default.aspx?num=786&street=E%20HASTINGS%20STREET,786,E HASTINGS STREET,5,44.0,"{""coordinates"":[-123.08770046,49.28080296],""type"":""Point""}",Strathcona,"49.28080296, -123.08770046",0.11363636105371908,Vancouver
Lookout Housing and Health Society,http://app.vancouver.ca/RPS_Net/Default.aspx?num=933&street=E%20HASTINGS%20STREET,933,E HASTINGS STREET,4,70.0,"{""coordinates"":[-123.08346131,49.28132913],""type"":""Point""}",Strathcona,"49.28132913, -123.08346131",0.05714285632653063,Vancouver
Thanh Liem Ly (Thanh Ly),http://app.vancouver.ca/RPS_Net/Default.aspx?num=2228&street=E%20HASTINGS%20STREET,2228,E HASTINGS STREET,1,6.0,"{""coordinates"":[-123.05912059,49.28087842],""type"":""Point""}",Grandview-Woodland,"49.28087842, -123.05912059",0.16666663888889352,Vancouver
Raincity Housing and Support Society,http://app.vancouver.ca/RPS_Net/Default.aspx?num=65&street=E%20HASTINGS%20STREET,65,E HASTINGS STREET,5,92.0,"{""coordinates"":[-123.10290041,49.28169883],""type"":""Point""}",Downtown,"49.28169883, -123.10290041",0.05434782549621929,Vancouver
Unknown,http://app.vancouver.ca/RPS_Net/Default.aspx?num=159&street=E%20HASTINGS%20STREET,159,E HASTINGS STREET,9,23.0,"{""coordinates"":[-123.10081977,49.28166287],""type"":""Point""}",Downtown,"49.28166287, -123.10081977",0.39130433081285515,Vancouver
PHS Community Services Society,http://app.vancouver.ca/RPS_Net/Default.aspx?num=177&street=E%20HASTINGS%20STREET,177,E HASTINGS STREET,7,81.0,"{""coordinates"":[-123.10049774,49.28165623],""type"":""Point""}",Downtown,"49.28165623, -123.10049774",0.08641975201950924,Vancouver
Provincial Rental Housing Corporation,http://app.vancouver.ca/RPS_Net/Default.aspx?num=261&street=E%20HASTINGS%20STREET,261,E HASTINGS STREET,3,51.0,"{""coordinates"":[-123.09808091,49.28159904],""type"":""Point""}",Strathcona,"49.28159904, -123.09808091",0.05882352825836219,Vancouver
Summer Hotel Ltd,http://app.vancouver.ca/RPS_Net/Default.aspx?num=341&street=E%20HASTINGS%20STREET,341,E HASTINGS STREET,7,26.0,"{""coordinates"":[-123.09652869,49.28157203],""type"":""Point""}",Strathcona,"49.28157203, -123.09652869",0.26923075887574005,Vancouver
PHS COMMUNITY SERVICES SOCIETY,http://app.vancouver.ca/RPS_Net/Default.aspx?num=344&street=E%20HASTINGS%20STREET,344,E HASTINGS STREET,4,107.0,"{""coordinates"":[-123.09638402,49.28095418],""type"":""Point""}",Strathcona,"49.28095418, -123.09638402",0.03738317722071797,Vancouver
Pepple Enterprises Ltd,http://app.vancouver.ca/RPS_Net/Default.aspx?num=561&street=E%20HASTINGS%20STREET,561,E HASTINGS STREET,9,54.0,"{""coordinates"":[-123.09199723,49.28148942],""type"":""Point""}",Strathcona,"49.28148942, -123.09199723",0.16666666358024698,Vancouver
Yang-Myung Hotel Management Ltd,http://app.vancouver.ca/RPS_Net/Default.aspx?num=769&street=E%20HASTINGS%20STREET,769,E HASTINGS STREET,4,82.0,"{""coordinates"":[-123.08788676,49.28141126],""type"":""Point""}",Strathcona,"49.28141126, -123.08788676",0.04878048720999406,Vancouver
Kathed Holdings Ltd,http://app.vancouver.ca/RPS_Net/Default.aspx?num=3570&street=E%20HASTINGS%20STREET,3570,E HASTINGS STREET,2,14.0,"{""coordinates"":[-123.02682211,49.28085294],""type"":""Point""}",Hastings-Sunrise,"49.28085294, -123.02682211",0.14285713265306196,Vancouver
Young Young Co Ltd,http://app.vancouver.ca/RPS_Net/Default.aspx?num=3648&street=E%20HASTINGS%20STREET,3648,E HASTINGS STREET,1,6.0,"{""coordinates"":[-123.02471529,49.28085083],""type"":""Point""}",Hastings-Sunrise,"49.28085083, -123.02471529",0.16666663888889352,Vancouver
1460317 B.C. LTD.,http://app.vancouver.ca/RPS_Net/Default.aspx?num=164&street=E%20HASTINGS%20STREET,164,E HASTINGS STREET,7,10.0,"{""coordinates"":[-123.10063441,49.28104857],""type"":""Point""}",Downtown,"49.28104857, -123.10063441",0.699999930000007,Vancouver
HE Rooms Inc,http://app.vancouver.ca/RPS_Net/Default.aspx?num=235&street=E%20HASTINGS%20STREET,235,E HASTINGS STREET,2,74.0,"{""coordinates"":[-123.09880869,49.28161236],""type"":""Point""}",Strathcona,"49.28161236, -123.09880869",0.02702702666179694,Vancouver
Kam Y Loh & Merrilee I Loh,http://app.vancouver.ca/RPS_Net/Default.aspx?num=437&street=E%20HASTINGS%20STREET,437,E HASTINGS STREET,1,12.0,"{""coordinates"":[-123.09436786,49.28153156],""type"":""Point""}",Strathcona,"49.28153156, -123.09436786",0.08333332638888948,Vancouver
Provincial Rental Housing Corporation,http://app.vancouver.ca/RPS_Net/Default.aspx?num=456&street=E%20HASTINGS%20STREET,456,E HASTINGS STREET,5,52.0,"{""coordinates"":[-123.09418189,49.28091634],""type"":""Point""}",Strathcona,"49.28091634, -123.09418189",0.09615384430473377,Vancouver
Shon Yee Benevelent Assn Of Canada,http://app.vancouver.ca/RPS_Net/Default.aspx?num=504&street=E%20HASTINGS%20STREET,504,E HASTINGS STREET,1,45.0,"{""coordinates"":[-123.09326163,49.28090253],""type"":""Point""}",Strathcona,"49.28090253, -123.09326163",0.022222221728395074,Vancouver
353806 BC Ltd,http://app.vancouver.ca/RPS_Net/Default.aspx?num=3683&street=E%20HASTINGS%20STREET,3683,E HASTINGS STREET,5,67.0,"{""coordinates"":[-123.02437442,49.28138793],""type"":""Point""}",Hastings-Sunrise,"49.28138793, -123.02437442",0.074626864557808,Vancouver
Affordable Housing Charitable Association,http://app.vancouver.ca/RPS_Net/Default.aspx?num=1788&street=E%20KENT%20AVENUE%20SOUTH,1788,E KENT AVENUE SOUTH,2,42.0,"{""coordinates"":[-123.06946548,49.20783398],""type"":""Point""}",Victoria-Fraserview,"49.20783398, -123.06946548",0.0476190464852608,Vancouver
Mau Dan Gardens Co-Op Housing Association,http://app.vancouver.ca/RPS_Net/Default.aspx?num=350&street=E%20PENDER%20STREET,350,E PENDER STREET,1,52.0,"{""coordinates"":[-123.0957684,49.27984549],""type"":""Point""}",Strathcona,"49.27984549, -123.0957684",0.019230768860946754,Vancouver
Association of United Ukranian Canadians,http://app.vancouver.ca/RPS_Net/Default.aspx?num=827&street=E%20PENDER%20STREET,827,E PENDER STREET,1,26.0,"{""coordinates"":[-123.08649623,49.28038687],""type"":""Point""}",Strathcona,"49.28038687, -123.08649623",0.03846153698224858,Vancouver
Yue Shan Society,http://app.vancouver.ca/RPS_Net/Default.aspx?num=33&street=E%20PENDER%20STREET,33,E PENDER STREET,2,14.0,"{""coordinates"":[-123.10332792,49.2807021],""type"":""Point""}",Downtown,"49.2807021, -123.10332792",0.14285713265306196,Vancouver
Mah Society of Canada,http://app.vancouver.ca/RPS_Net/Default.aspx?num=139&street=E%20PENDER%20STREET,139,E PENDER STREET,5,34.0,"{""coordinates"":[-123.10096634,49.28066328],""type"":""Point""}",Downtown,"49.28066328, -123.10096634",0.1470588192041524,Vancouver
Lew Mow Wai Society,http://app.vancouver.ca/RPS_Net/Default.aspx?num=349&street=E%20PENDER%20STREET,349,E PENDER STREET,1,9.0,"{""coordinates"":[-123.09594415,49.28055794],""type"":""Point""}",Strathcona,"49.28055794, -123.09594415",0.11111109876543349,Vancouver
1186832 BC Ltd,http://app.vancouver.ca/RPS_Net/Default.aspx?num=575&street=E%20PENDER%20STREET,575,E PENDER STREET,7,27.0,"{""coordinates"":[-123.09193829,49.28049324],""type"":""Point""}",Strathcona,"49.28049324, -123.09193829",0.2592592496570648,Vancouver
Bernhard Nachtwey,http://app.vancouver.ca/RPS_Net/Default.aspx?num=826&street=E%20PENDER%20STREET,826,E PENDER STREET,1,6.0,"{""coordinates"":[-123.08651387,49.27986783],""type"":""Point""}",Strathcona,"49.27986783, -123.08651387",0.16666663888889352,Vancouver
BC Indigenous Housing Society,http://app.vancouver.ca/RPS_Net/Default.aspx?num=1823&street=E%20PENDER%20STREET,1823,E PENDER STREET,1,42.0,"{""coordinates"":[-123.06754829,49.28049812],""type"":""Point""}",Grandview-Woodland,"49.28049812, -123.06754829",0.0238095232426304,Vancouver
Bloomsbury Properties Ltd,http://app.vancouver.ca/RPS_Net/Default.aspx?num=1880&street=E%20PENDER%20STREET,1880,E PENDER STREET,5,50.0,"{""coordinates"":[-123.06645519,49.27996582],""type"":""Point""}",Grandview-Woodland,"49.27996582, -123.06645519",0.09999999800000005,Vancouver
P D A Capital Corp,http://app.vancouver.ca/RPS_Net/Default.aspx?num=2150&street=E%20PENDER%20STREET,2150,E PENDER STREET,3,6.0,"{""coordinates"":[-123.06067053,49.28000531],""type"":""Point""}",Grandview-Woodland,"49.28000531, -123.06067053",0.49999991666668053,Vancouver
Vancouver Chinatown Foundation For Community Revitalization,http://app.vancouver.ca/RPS_Net/Default.aspx?num=258&street=E%20PENDER%20STREET,258,E PENDER STREET,2,120.0,"{""coordinates"":[-123.0981439,49.28009111],""type"":""Point""}",Strathcona,"49.28009111, -123.0981439",0.01666666652777778,Vancouver
Brian S Charles & Despina D Frangolias,http://app.vancouver.ca/RPS_Net/Default.aspx?num=3302&street=EAST%20BOULEVARD,3302,EAST BOULEVARD,1,5.0,"{""coordinates"":[-123.15211927,49.25614799],""type"":""Point""}",Shaughnessy,"49.25614799, -123.15211927",0.199999960000008,Vancouver
Vancouver Pacific Enterprises Corp,http://app.vancouver.ca/RPS_Net/Default.aspx?num=2265&street=ETON%20STREET,2265,ETON STREET,1,32.0,"{""coordinates"":[-123.05816905,49.28776474],""type"":""Point""}",Grandview-Woodland,"49.28776474, -123.05816905",0.031249999023437534,Vancouver
Jasmine Investments (1994) Co Ltd,http://app.vancouver.ca/RPS_Net/Default.aspx?num=2212&street=ETON%20STREET,2212,ETON STREET,2,10.0,"{""coordinates"":[-123.0592061,49.28725418],""type"":""Point""}",Grandview-Woodland,"49.28725418, -123.0592061",0.19999998000000202,Vancouver
Brightside Community Homes Foundation,http://app.vancouver.ca/RPS_Net/Default.aspx?num=2950&street=EUCLID%20AVENUE,2950,EUCLID AVENUE,3,45.0,"{""coordinates"":[-123.04369648,49.24006198],""type"":""Point""}",Renfrew-Collingwood,"49.24006198, -123.04369648",0.06666666518518523,Vancouver
Natasha Taylor,http://app.vancouver.ca/RPS_Net/Default.aspx?num=3223&street=FINDLAY%20STREET,3223,FINDLAY STREET,3,12.0,"{""coordinates"":[-123.06825456,49.2559113],""type"":""Point""}",Kensington-Cedar Cottage,"49.2559113, -123.06825456",0.2499999791666684,Vancouver
Louise Court Holdings Ltd,http://app.vancouver.ca/RPS_Net/Default.aspx?num=1777&street=FRANCES%20STREET,1777,FRANCES STREET,1,59.0,"{""coordinates"":[-123.06874996,49.27961543],""type"":""Point""}",Grandview-Woodland,"49.27961543, -123.06874996",0.016949152255099114,Vancouver
Urban Vision Housing Society,http://app.vancouver.ca/RPS_Net/Default.aspx?num=1610&street=FRANKLIN%20STREET,1610,FRANKLIN STREET,11,50.0,"{""coordinates"":[-123.07228357,49.28200606],""type"":""Point""}",Grandview-Woodland,"49.28200606, -123.07228357",0.2199999956000001,Vancouver
BC Indigenous Housing Society,http://app.vancouver.ca/RPS_Net/Default.aspx?num=1719&street=FRANKLIN%20STREET,1719,FRANKLIN STREET,10,32.0,"{""coordinates"":[-123.06979076,49.28242758],""type"":""Point""}",Grandview-Woodland,"49.28242758, -123.06979076",0.3124999902343753,Vancouver
0790462 BC Ltd,http://app.vancouver.ca/RPS_Net/Default.aspx?num=5760&street=FRASER%20STREET,5760,FRASER STREET,1,5.0,"{""coordinates"":[-123.09016753,49.23226362],""type"":""Point""}",Sunset,"49.23226362, -123.09016753",0.199999960000008,Vancouver
6462 Fraser Developments Inc,http://app.vancouver.ca/RPS_Net/Default.aspx?num=6462&street=FRASER%20STREET,6462,FRASER STREET,4,16.0,"{""coordinates"":[-123.09037135,49.22585984],""type"":""Point""}",Sunset,"49.22585984, -123.09037135",0.24999998437500096,Vancouver
United Revenue Properties Ltd,http://app.vancouver.ca/RPS_Net/Default.aspx?num=2532&street=FRASER%20STREET,2532,FRASER STREET,2,9.0,"{""coordinates"":[-123.08886308,49.26187844],""type"":""Point""}",Mount Pleasant,"49.26187844, -123.08886308",0.22222219753086697,Vancouver
Connective Support Society,http://app.vancouver.ca/RPS_Net/Default.aspx?num=3350&street=FRASER%20STREET,3350,FRASER STREET,3,8.0,"{""coordinates"":[-123.08947179,49.25506059],""type"":""Point""}",Kensington-Cedar Cottage,"49.25506059, -123.08947179",0.3749999531250059,Vancouver
Sammy Pan,http://app.vancouver.ca/RPS_Net/Default.aspx?num=8787&street=FREMLIN%20STREET,8787,FREMLIN STREET,4,39.0,"{""coordinates"":[-123.1279635,49.20603405],""type"":""Point""}",Marpole,"49.20603405, -123.1279635",0.10256409993425386,Vancouver
EMK Properties Ltd,http://app.vancouver.ca/RPS_Net/Default.aspx?num=1010&street=GILFORD%20STREET,1010,GILFORD STREET,1,41.0,"{""coordinates"":[-123.14029871,49.29005189],""type"":""Point""}",West End,"49.29005189, -123.14029871",0.024390243307555043,Vancouver
Glen Drive Apartments Ltd,http://app.vancouver.ca/RPS_Net/Default.aspx?num=2325&street=GLEN%20DRIVE,2325,GLEN DRIVE,1,10.0,"{""coordinates"":[-123.08169527,49.26400214],""type"":""Point""}",Mount Pleasant,"49.26400214, -123.08169527",0.09999999000000101,Vancouver
