businessoperator,detailurl,streetnumber,street,totaloutstanding,totalunits,geom,geolocalarea,geo_point_2d,violation_rate,city
EMV Holdings Corp,http://app.vancouver.ca/RPS_Net/Default.aspx?num=930&street=CHILCO%20STREET,930,CHILCO STREET,1,29.0,"{""coordinates"":[-123.1400431,49.29202753],""type"":""Point""}",West End,"49.29202753, -123.1400431",0.034482757431629055,Vancouver
Armando Ferreira,http://app.vancouver.ca/RPS_Net/Default.aspx?num=2308&street=CLARK%20DRIVE,2308,CLARK DRIVE,3,5.0,"{""coordinates"":[-123.07708649,49.26404447],""type"":""Point""}",Grandview-Woodland,"49.26404447, -123.07708649",0.599999880000024,Vancouver
Persepolis Investments Inc,http://app.vancouver.ca/RPS_Net/Default.aspx?num=351&street=COLUMBIA%20STREET,351,COLUMBIA STREET,3,27.0,"{""coordinates"":[-123.1024617,49.2816793],""type"":""Point""}",Downtown,"49.2816793, -123.1024617",0.11111110699588492,Vancouver
Ali's Property Ltd,http://app.vancouver.ca/RPS_Net/Default.aspx?num=412&street=COLUMBIA%20STREET,412,COLUMBIA STREET,1,7.0,"{""coordinates"":[-123.10209829,49.28113543],""type"":""Point""}",Downtown,"49.28113543, -123.10209829",0.1428571224489825,Vancouver
Yin Ping Benevolent Society of Canada,http://app.vancouver.ca/RPS_Net/Default.aspx?num=414&street=COLUMBIA%20STREET,414,COLUMBIA STREET,1,15.0,"{""coordinates"":[-123.10210977,49.28103602],""type"":""Point""}",Downtown,"49.28103602, -123.10210977",0.06666666222222252,Vancouver
673854 BC Ltd,http://app.vancouver.ca/RPS_Net/Default.aspx?num=2615&street=COLUMBIA%20STREET,2615,COLUMBIA STREET,2,13.0,"{""coordinates"":[-123.10984221,49.26197789],""type"":""Point""}",Mount Pleasant,"49.26197789, -123.10984221",0.15384614201183525,Vancouver
Kwok Hing Louie & Daisy Louie,http://app.vancouver.ca/RPS_Net/Default.aspx?num=1965&street=COMMERCIAL%20DRIVE,1965,COMMERCIAL DRIVE,1,6.0,"{""coordinates"":[-123.07003857,49.26727419],""type"":""Point""}",Grandview-Woodland,"49.26727419, -123.07003857",0.16666663888889352,Vancouver
631 Commercial Drive Holdings Ltd,http://app.vancouver.ca/RPS_Net/Default.aspx?num=633&street=COMMERCIAL%20DRIVE,633,COMMERCIAL DRIVE,1,6.0,"{""coordinates"":[-123.07074744,49.2788454],""type"":""Point""}",Grandview-Woodland,"49.2788454, -123.07074744",0.16666663888889352,Vancouver
FCCZ Investment Ltd.,http://app.vancouver.ca/RPS_Net/Default.aspx?num=1316&street=COMMERCIAL%20DRIVE,1316,COMMERCIAL DRIVE,3,5.0,"{""coordinates"":[-123.06917948,49.27269518],""type"":""Point""}",Grandview-Woodland,"49.27269518, -123.06917948",0.599999880000024,Vancouver
Hudsonmorris (3427 Commercial) Projects Corp,http://app.vancouver.ca/RPS_Net/Default.aspx?num=3427&street=COMMERCIAL%20STREET,3427,COMMERCIAL STREET,5,8.0,"{""coordinates"":[-123.06839379,49.25387472],""type"":""Point""}",Kensington-Cedar Cottage,"49.25387472, -123.06839379",0.6249999218750099,Vancouver
Dicata (Commercial Street) Limited Partnership,http://app.vancouver.ca/RPS_Net/Default.aspx?num=3607&street=COMMERCIAL%20STREET,3607,COMMERCIAL STREET,5,10.0,"{""coordinates"":[-123.06846251,49.25233156],""type"":""Point""}",Kensington-Cedar Cottage,"49.25233156, -123.06846251",0.499999950000005,Vancouver
Andrew Priatel & John Priatel,http://app.vancouver.ca/RPS_Net/Default.aspx?num=1075&street=COMOX%20STREET,1075,COMOX STREET,1,87.0,"{""coordinates"":[-123.12801526,49.28146361],""type"":""Point""}",West End,"49.28146361, -123.12801526",0.01149425274144537,Vancouver
Daysgoneby.org Land Stewards Ltd,http://app.vancouver.ca/RPS_Net/Default.aspx?num=1717&street=COMOX%20STREET,1717,COMOX STREET,1,23.0,"{""coordinates"":[-123.13796381,49.2880357],""type"":""Point""}",West End,"49.2880357, -123.13796381",0.04347825897920613,Vancouver
Five Mile Holdings Ltd,http://app.vancouver.ca/RPS_Net/Default.aspx?num=2033&street=COMOX%20STREET,2033,COMOX STREET,1,91.0,"{""coordinates"":[-123.1427403,49.29099206],""type"":""Point""}",West End,"49.29099206, -123.1427403",0.010989010868252628,Vancouver
Wings Housing Society,http://app.vancouver.ca/RPS_Net/Default.aspx?num=1041&street=COMOX%20STREET,1041,COMOX STREET,5,30.0,"{""coordinates"":[-123.12781211,49.28133297],""type"":""Point""}",West End,"49.28133297, -123.12781211",0.16666666111111128,Vancouver
Cressey Wilkinson Holdings Ltd,http://app.vancouver.ca/RPS_Net/Default.aspx?num=1715&street=COOK%20STREET,1715,COOK STREET,8,104.0,"{""coordinates"":[-123.11078149,49.26948341],""type"":""Point""}",Mount Pleasant,"49.26948341, -123.11078149",0.07692307618343196,Vancouver
Creekside Ventures Limited,http://app.vancouver.ca/RPS_Net/Default.aspx?num=1450&street=CREEKSIDE%20DRIVE,1450,CREEKSIDE DRIVE,1,39.0,"{""coordinates"":[-123.13984642,49.27145559],""type"":""Point""}",Fairview,"49.27145559, -123.13984642",0.025641024983563465,Vancouver
