"REF_DATE","GEO","DGUID","UOM","UOM_ID","SCALAR_FACTOR","SCALAR_ID","VECTOR","COORDINATE","VALUE","STATUS","SYMBOL","TERMINATED","DECIMALS"
"2023-12","Canada","2016A000011124","Percent","239","units","0","v733833","1","6.39","","","","2"
"2024-01","Canada","2016A000011124","Percent","239","units","0","v733833","1","6.31","","","","2"
"2024-02","Canada","2016A000011124","Percent","239","units","0","v733833","1","6.15","","","","2"
"2024-03","Canada","2016A000011124","Percent","239","units","0","v733833","1","6.13","","","","2"
"2024-04","Canada","2016A000011124","Percent","239","units","0","v733833","1","6.08","","","","2"
"2024-05","Canada","2016A000011124","Percent","239","units","0","v733833","1","6.05","","","","2"
"2024-06","Canada","2016A000011124","Percent","239","units","0","v733833","1","5.98","","","","2"
"2024-07","Canada","2016A000011124","Percent","239","units","0","v733833","1","5.91","","","","2"
"2024-08","Canada","2016A000011124","Percent","239","units","0","v733833","1","5.73","","","","2"
"2024-09","Canada","2016A000011124","Percent","239","units","0","v733833","1","5.55","","","","2"
"2024-10","Canada","2016A000011124","Percent","239","units","0","v733833","1","5.44","","","","2"
"2024-11","Canada","2016A000011124","Percent","239","units","0","v733833","1","5.38","","","","2"
"2024-12","Canada","2016A000011124","Percent","239","units","0","v733833","1","5.35","","","","2"
"2025-01","Canada","2016A000011124","Percent","239","units","0","v733833","1","5.31","","","","2"
"2025-02","Canada","2016A000011124","Percent","239","units","0","v733833","1","5.08","","","","2"
"2025-03","Canada","2016A000011124","Percent","239","units","0","v733833","1","5.22","","","","2"


