Longitude (x),Latitude (y),Station Name,Climate ID,Date/Time,Year,Month,Day,Data Quality,Max Temp (°C),Max Temp Flag,Min Temp (°C),Min Temp Flag,Mean Temp (°C),Mean Temp Flag,Heat Deg Days (°C),Heat Deg Days Flag,Cool Deg Days (°C),Cool Deg Days Flag,Total Rain (mm),Total Rain Flag,Total Snow (cm),Total Snow Flag,Total Precip (mm),Total Precip Flag,Snow on Grnd (cm),Snow on Grnd Flag,Dir of Max Gust (10s deg),Dir of Max Gust Flag,Spd of Max Gust (km/h),Spd of Max Gust Flag
-114.01,51.12,CALGARY INTL A,3031092,28/06/2025,2025,6,28,,19,,9.8,,14.4,,3.6,,0,,4.9,,0,,4.9,,,,1,,46,
-114.01,51.12,CALGARY INTL A,3031092,29/06/2025,2025,6,29,,23.2,,9.7,,16.5,,1.5,,0,,0,T,0,,0,T,,,3,,48,
-114.01,51.12,CALGARY INTL A,3031092,30/06/2025,2025,6,30,,25.1,,11.4,,18.3,,0,,0.3,,0,,0,,0,,,,,M,,M
-114.01,51.12,CALGARY INTL A,3031092,01/07/2025,2025,7,1,,27.7,,13.3,,20.5,,0,,2.5,,0,,0,,0,,,,15,,35,
-114.01,51.12,CALGARY INTL A,3031092,02/07/2025,2025,7,2,,32.1,,15,,23.6,,0,,5.6,,0,,0,,0,,,,27,,59,
-114.01,51.12,CALGARY INTL A,3031092,03/07/2025,2025,7,3,,21.9,,12.1,,17,,1,,0,,3.5,,0,,3.5,,,,1,,52,
-114.01,51.12,CALGARY INTL A,3031092,04/07/2025,2025,7,4,,19.3,,9.8,,14.6,,3.4,,0,,0,,0,,0,,,,5,,32,
-114.01,51.12,CALGARY INTL A,3031092,05/07/2025,2025,7,5,,19.4,,13.3,,16.4,,1.6,,0,,0,,0,,0,,,,18,,54,
-114.01,51.12,CALGARY INTL A,3031092,06/07/2025,2025,7,6,,19.8,,11.7,,15.8,,2.2,,0,,1.1,,0,,1.1,,,,1,,41,
-114.01,51.12,CALGARY INTL A,3031092,07/07/2025,2025,7,7,,24.3,,10.1,,17.2,,0.8,,0,,0,,0,,0,,,,17,,39,
-114.01,51.12,CALGARY INTL A,3031092,08/07/2025,2025,7,8,,32.3,,15.4,,23.9,,0,,5.9,,0,,0,,0,,,,22,,41,
-114.01,51.12,CALGARY INTL A,3031092,09/07/2025,2025,7,9,,24.7,,15.2,,20,,0,,2,,0,T,0,,0,T,,,2,,42,
-114.01,51.12,CALGARY INTL A,3031092,10/07/2025,2025,7,10,,17,,8.4,,12.7,,5.3,,0,,2.4,,0,,2.4,,,,35,,52,
-114.01,51.12,CALGARY INTL A,3031092,11/07/2025,2025,7,11,,25.6,,7.1,,16.4,,1.6,,0,,0,,0,,0,,,,28,,39,
-114.01,51.12,CALGARY INTL A,3031092,12/07/2025,2025,7,12,,29,,14.6,,21.8,,0,,3.8,,0,,0,,0,,,,29,,55,
-114.01,51.12,CALGARY INTL A,3031092,13/07/2025,2025,7,13,,24.3,,13.6,,19,,0,,1,,11.6,,0,,11.6,,,,32,,93,
